Kategori,Rata-rata P@5,Rata-rata P@10,Rata-rata P@20
Cyber Security,0.9333,0.9667,0.9833
Machine Learning,0.8,0.6333,0.5667
Mobile Application,0.9333,0.9333,0.85
Web Application,0.9333,0.9333,0.8667
