Kategori,Judul Artikel,Jumlah Kemunculan
Cyber Security,Edukasi Keamanan Siber Berdigital dengan Aman,2
Cyber Security,Mengukur Keamanan Siber Indonesia Melalui Indikator Pilar Kerjasama Dalam Global Cybersecurity Index (GCI),2
Cyber Security,Peraturan dan Regulasi Keamanan Siber di Era Digital,2
Cyber Security,Analisis risiko keamanan siber dalam transformasi digital pelayanan publik di Indonesia,2
Cyber Security,Analisis penerapan sistem keamanan siber terhadap kejahatan siber di indonesia,2
Cyber Security,Upaya membangun kesadaran keamanan siber pada konsumen e-commerce di Indonesia,2
Cyber Security,Analisis hukum terhadap tantangan keamanan siber: Studi kasus penegakan hukum siber di Indonesia,2
Cyber Security,Teknologi Keamanan Siber (Cyber Security),2
Cyber Security,Pentingnya Keamanan Siber Dalam Era Digital:: Tinjauan Global Dan Kondisi Di Indonesia,2
Cyber Security,Sistem Keamanan Siber dan Kedaulatan Data di Indonesia dalam Perspektif Ekonomi Politik (Studi Kasus Perlindungan Data Pribadi)[Cyber Security System and …,2
Machine Learning,Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir,3
Machine Learning,"Penerapan Machine Learning, Deep Learning, Dan Data Mining Dalam Deteksi Kecurangan Laporan Keuangan-a Systematic Literature Review",2
Machine Learning,Penerapan Machine Learning Untuk Mengategorikan Sampah Plastik Rumah Tangga,2
Machine Learning,Penerapan Metode Machine Learning dalam Mengidentifikasi Berita Hoaks,2
Machine Learning,Visualisasi Data dan Penerapan Machine Learning Menggunakan Decision Tree Untuk Keputusan Layanan Kesehatan COVID-19,2
Machine Learning,Machine learning and deep learning: C. Janiesch et al.,1
Machine Learning,An overview of machine learning classification techniques,1
Machine Learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,1
Machine Learning,Pemanfaatan machine learning di bidang kesehatan,1
Machine Learning,Penerapan Teknologi Machine Learning dalam Deteksi Dini Penyakit Pada Tanaman Pangan,1
Mobile Application,Perancangan Ulang UI & UX Menggunakan Metode Design Thinking Pada Aplikasi Siakadu Mahasiswa Berbasis Mobile,3
Mobile Application,Peluang Penelitian UI/UX pada Pengembangan Aplikasi Mobile: Systematic literature review,3
Mobile Application,Analisis persepsi konsumen terhadap penggunaan aplikasi Mobile JKN,3
Mobile Application,Tren pengembangan aplikasi mobile: Sebuah tinjauan literatur,3
Mobile Application,Perancangan UI/UX Aplikasi Mobile Produk Fashion Pria pada Toko Celcius di Kota Manado Menggunakan Design Thinking,3
Mobile Application,Analisis kualitas layanan pada aplikasi Mobile JKN dengan tingkat kepuasan pengguna Mobile JKN BPJS Kesehatan di Kabupaten Demak,2
Mobile Application,Aplikasi Mobile JKN Edukasi Tentang Penggunaan Aplikasi Mobile JKN Pada Pasien Rawat Jalan RSUD Anugerah Tomohon,2
Mobile Application,Penerapan metode design thinking dalam perancangan UI/UX aplikasi mobile SIPROPMAWA,2
Mobile Application,Analisis Penggunaan Aplikasi Mobile JKN dengan Metode EUCS,2
Mobile Application,Penggunaan metode heuristic evaluation sebagai analisis evaluasi user interface dan user experience pada aplikasi bca mobile,2
Web Application,A survey on web application penetration testing,2
Web Application,Development of interactive biological web applications with R/Shiny,2
Web Application,Pengenalan pemrograman web: Pembuatan aplikasi web sederhana dengan PHP dan MySQL,2
Web Application,Implementasi Aplikasi Kasir Berbasis Web pada Toko Ghafya Fruits Shop,2
Web Application,Pengembangan Aplikasi Berbasis Web dan Android Sebagai Penunjang Kerja di Indonesia: Systematic Literature Review,2
Web Application,Rancang bangun aplikasi penjualan online berbasis web menggunakan metode scrum,2
Web Application,Penerapan Metode Waterfall Pada Aplikasi Reservasi Lapangan Futsal Berbasis Web,2
Web Application,Digitalisasi Usaha Mikro Kecil Dan Menengah Di Desa Melalui Aplikasi Kede Desa Berbasis Web,2
Web Application,Rancang Bangun Aplikasi Penjualan Kebutuhan Pokok Berbasis Web Pada Toko Khansaa,2
Web Application,Implementasi Web Service Sebagai Penyedia Informasi Untuk Aplikasi Pengelolaan Jadwal Pemberian Pakan Ikan (Studi Kasus: Pokdakan Karya Bersama),2
