Kategori,Rata-rata P@5,Rata-rata P@10,Rata-rata P@20
Cyber Security,0.8,0.9,0.9
Machine Learning,0.8,0.5,0.4667
Mobile Application,0.7333,0.8333,0.7667
Web Application,0.8,0.8667,0.8
