article_id,title,dot_product,norm_abstract,norm_title,cosine_similarity,interpretation,overlap_terms
1,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,0.04577659340290255,0.3942009768853385,0.3972489345267334,0.2923230309631151,Rendah,"kasus, learning, machine, prediksi"
2,Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir,0.017031990046568746,0.349262083422812,0.5128005309659189,0.09509670910569121,Rendah,"learning, machine, metode"
3,"Penerapan Machine Learning, Deep Learning, Dan Data Mining Dalam Deteksi Kecurangan Laporan Keuangan-a Systematic Literature Review",0.033737566023052515,0.3349922444568795,0.3630103084559708,0.27743422575231735,Rendah,"data, deep, learning, machine"
4,Penerapan machine learning untuk prediksi bencana banjir,0.0,0.7282198232551801,0.5544692561261253,0.0,Rendah,
5,Penerapan Machine Learning dan Deep Learning pada Peningkatan Deteksi Credit Card Fraud-A Systematic Literature Review,0.07958764184675256,0.41806143418564184,0.4016807010884555,0.4739413097818374,Relevan Sedang,"card, credit, deep, fraud, learning, machine"
6,Penerapan Machine Learning dengan Konsep Data Mining Rough Set (Prediksi Tingkat Pemahaman Mahasiswa terhadap Matakuliah),0.041612767445198214,0.4220294235201525,0.4409927965002791,0.22358999863368603,Rendah,"learning, machine, rough, set"
7,Penerapan Metode Machine Learning dalam Klasifikasi Risiko Kejadian Berat Badan Lahir Rendah di Indonesia,0.037956669323815403,0.3884404522141762,0.4939295135280643,0.19783296872576173,Rendah,"klasifikasi, learning, machine, metode, terap"
8,Penerapan Machine Learning Untuk Menentukan Tingkat Kepuasan Tamu Hotel Dymens Menggunakan Metode Vader,0.00435635961477525,0.39016740415362827,0.468742723120228,0.0238198049219894,Rendah,"learning, machine"
9,Klasifikasi kualitas air minum menggunakan penerapan algoritma machine learning dengan pendekatan supervised learning,0.08956938697885189,0.4033455160705654,0.4323652254644219,0.5136078011403334,Relevan Tinggi,"air, guna, klasifikasi, kualitas, learning, machine, minum, terap"
10,Visualisasi Data dan Penerapan Machine Learning Menggunakan Decision Tree Untuk Keputusan Layanan Kesehatan COVID-19,0.0135053990387844,0.4071026664501695,0.4167484535890199,0.07960300758953713,Rendah,"data, learning, machine, terap"
