term,document_count,total_weight
cyber,48,4.108036945470643
learning,69,3.979429468615373
machine,54,3.865188131219809
security,55,3.7216595674339814
mobile,51,3.303019320143788
web,50,3.1073542575974518
application,63,2.1531611883889816
apps,37,2.0388069600210024
app,34,1.6384234192133253
development,13,0.6260061453820299
develop,6,0.3025071937689815
secure,3,0.19152753931831235
