doc_id,category,title,term,term_count,total_terms,tf,df,idf,tfidf_score
1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,terap,1,23,0.043478260869565216,30,0.8239087409443188,0.03582211917149212
1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,machine,4,23,0.17391304347826086,54,0.5686362358410126,0.09889325840713263
1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,learning,4,23,0.17391304347826086,63,0.5016894462103995,0.08725033847137381
1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,prediksi,2,23,0.08695652173913043,9,1.3467874862246563,0.11711195532388315
1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,tingkat,1,23,0.043478260869565216,17,1.0705810742857074,0.04654700322981336
1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,kasus,2,23,0.08695652173913043,8,1.3979400086720377,0.12156000075409024
1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,sakit,1,23,0.043478260869565216,4,1.6989700043360187,0.07386826105808778
1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,indonesia,1,23,0.043478260869565216,19,1.0222763947111522,0.044446799770050095
1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,jabar,1,23,0.043478260869565216,1,2.3010299956639813,0.10004478242017309
1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,implementasi,2,23,0.08695652173913043,7,1.4559319556497243,0.12660277875214992
1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,aplikasi,1,23,0.043478260869565216,54,0.5686362358410126,0.024723314601783158
1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,model,1,23,0.043478260869565216,14,1.1549019599857433,0.05021312869503232
1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,arima,1,23,0.043478260869565216,1,2.3010299956639813,0.10004478242017309
1,machine learning,Penerapan machine learning dalam prediksi tingkat kasus penyakit di Indonesia,kemudian,1,23,0.043478260869565216,1,2.3010299956639813,0.10004478242017309
2,machine learning,Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir,tinjau,1,26,0.038461538461538464,5,1.6020599913279623,0.0616176919741524
2,machine learning,Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir,pustaka,1,26,0.038461538461538464,1,2.3010299956639813,0.0885011536793839
2,machine learning,Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir,sistematis,1,26,0.038461538461538464,1,2.3010299956639813,0.0885011536793839
2,machine learning,Tinjauan Pustaka Sistematis: Penerapan Metode Machine Learning untuk Deteksi Bencana Banjir,terap,1,26,0.038461538461538464,30,0.8239087409443188,0.03168879772862765
